customer_id,age,gender,age_group,purchase_amount_usd,customer_value_tier,previous_purchases,engagement_tier,value_engagement_segment,subscription_status,frequency_of_purchases,purchase_frequency_days,category,item_purchased,review_rating,discount_applied,shipping_type,payment_method,location,season
24,31,Male,31-45 (Adult),88,High Value,40,High Engagement,High Value - High Engagement,Yes,Weekly,7,Clothing,Pants,4.4,Yes,Express,Credit Card,Oklahoma,Winter
25,18,Male,18-30 (Young Adult),22,Low Value,16,Medium Engagement,Low Value - Medium Engagement,Yes,Weekly,7,Outerwear,Jacket,2.9,Yes,Store Pickup,Debit Card,Florida,Fall
26,18,Male,18-30 (Young Adult),25,Low Value,14,Low Engagement,Low Value - Low Engagement,Yes,Annually,365,Clothing,Hoodie,3.6,Yes,Express,PayPal,Texas,Summer
27,38,Male,31-45 (Adult),20,Low Value,13,Low Engagement,Low Value - Low Engagement,Yes,Annually,365,Accessories,Jewelry,3.6,Yes,Next Day Air,Credit Card,Nevada,Spring
28,56,Male,46-60 (Middle-Aged),56,Medium Value,7,Low Engagement,Medium Value - Low Engagement,Yes,Quarterly,90,Clothing,Shorts,5.0,Yes,Next Day Air,Bank Transfer,Kentucky,Summer
29,54,Male,46-60 (Middle-Aged),94,High Value,41,High Engagement,High Value - High Engagement,Yes,Quarterly,90,Accessories,Handbag,4.4,Yes,Free Shipping,PayPal,North Carolina,Fall
30,31,Male,31-45 (Adult),48,Medium Value,14,Low Engagement,Medium Value - Low Engagement,Yes,Weekly,7,Clothing,Dress,4.1,Yes,Store Pickup,Credit Card,Wyoming,Fall
31,57,Male,46-60 (Middle-Aged),31,Low Value,16,Medium Engagement,Low Value - Medium Engagement,Yes,Monthly,30,Accessories,Jewelry,4.7,Yes,Standard,Credit Card,North Carolina,Winter
32,33,Male,31-45 (Adult),79,High Value,45,High Engagement,High Value - High Engagement,Yes,Monthly,30,Clothing,Dress,4.7,Yes,Store Pickup,Venmo,West Virginia,Winter
33,36,Male,31-45 (Adult),67,Medium Value,37,High Engagement,Medium Value - High Engagement,Yes,Annually,365,Outerwear,Jacket,4.9,Yes,Free Shipping,Venmo,Kansas,Summer
34,54,Male,46-60 (Middle-Aged),38,Low Value,45,High Engagement,Low Value - High Engagement,Yes,Quarterly,90,Clothing,Pants,3.3,Yes,Store Pickup,Cash,Colorado,Summer
35,36,Male,31-45 (Adult),91,High Value,38,High Engagement,High Value - High Engagement,Yes,Quarterly,90,Clothing,T-shirt,4.6,Yes,2-Day Shipping,PayPal,North Dakota,Spring
36,54,Male,46-60 (Middle-Aged),33,Low Value,48,High Engagement,Low Value - High Engagement,Yes,Bi-Weekly,14,Clothing,Blouse,4.0,Yes,2-Day Shipping,Credit Card,Massachusetts,Summer
37,35,Male,31-45 (Adult),69,Medium Value,44,High Engagement,Medium Value - High Engagement,Yes,Bi-Weekly,14,Clothing,T-shirt,4.6,Yes,Free Shipping,PayPal,Illinois,Winter
38,35,Male,31-45 (Adult),45,Medium Value,10,Low Engagement,Medium Value - Low Engagement,Yes,Weekly,7,Clothing,Jeans,2.8,Yes,Store Pickup,PayPal,Indiana,Summer
39,29,Male,18-30 (Young Adult),37,Low Value,44,High Engagement,Low Value - High Engagement,Yes,Quarterly,90,Clothing,Dress,3.7,Yes,2-Day Shipping,Venmo,Florida,Winter
40,70,Male,61-70 (Senior),60,Medium Value,18,Medium Engagement,Medium Value - Medium Engagement,Yes,Monthly,30,Clothing,Pants,4.2,Yes,Express,Credit Card,Arizona,Summer
41,69,Male,61-70 (Senior),76,High Value,31,Medium Engagement,High Value - Medium Engagement,Yes,Quarterly,90,Accessories,Handbag,4.6,Yes,Next Day Air,Debit Card,Louisiana,Winter
42,67,Male,61-70 (Senior),39,Low Value,40,High Engagement,Low Value - High Engagement,Yes,Annually,365,Accessories,Scarf,4.5,Yes,Standard,Venmo,Alaska,Spring
43,20,Male,18-30 (Young Adult),100,High Value,15,Low Engagement,High Value - Low Engagement,Yes,Annually,365,Outerwear,Coat,4.1,Yes,Free Shipping,PayPal,Tennessee,Spring
44,25,Male,18-30 (Young Adult),69,Medium Value,19,Medium Engagement,Medium Value - Medium Engagement,Yes,Bi-Weekly,14,Accessories,Scarf,3.7,Yes,Store Pickup,PayPal,Ohio,Fall
45,39,Male,31-45 (Adult),53,Medium Value,45,High Engagement,Medium Value - High Engagement,Yes,Weekly,7,Accessories,Hat,4.6,Yes,Free Shipping,PayPal,Kentucky,Summer
46,50,Male,46-60 (Middle-Aged),21,Low Value,25,Medium Engagement,Low Value - Medium Engagement,Yes,Annually,365,Clothing,Socks,2.9,Yes,2-Day Shipping,PayPal,Tennessee,Fall
47,57,Male,46-60 (Middle-Aged),43,Medium Value,45,High Engagement,Medium Value - High Engagement,Yes,Quarterly,90,Clothing,Shirt,2.9,Yes,Store Pickup,Cash,California,Summer
48,55,Male,46-60 (Middle-Aged),54,Medium Value,36,High Engagement,Medium Value - High Engagement,Yes,Weekly,7,Accessories,Jewelry,4.5,Yes,Free Shipping,Cash,Montana,Winter
49,42,Male,31-45 (Adult),55,Medium Value,38,High Engagement,Medium Value - High Engagement,Yes,Monthly,30,Clothing,Shirt,2.7,Yes,Store Pickup,Cash,Nevada,Summer
50,68,Male,61-70 (Senior),30,Low Value,34,Medium Engagement,Low Value - Medium Engagement,Yes,Bi-Weekly,14,Clothing,Hoodie,4.6,Yes,Next Day Air,Debit Card,New Jersey,Spring
51,49,Male,46-60 (Middle-Aged),28,Low Value,39,High Engagement,Low Value - High Engagement,Yes,Bi-Weekly,14,Clothing,Blouse,3.7,Yes,Store Pickup,Debit Card,Maryland,Spring
52,59,Male,46-60 (Middle-Aged),59,Medium Value,7,Low Engagement,Medium Value - Low Engagement,Yes,Quarterly,90,Clothing,Skirt,4.7,Yes,2-Day Shipping,Credit Card,Vermont,Winter
53,42,Male,31-45 (Adult),20,Low Value,26,Medium Engagement,Low Value - Medium Engagement,Yes,Weekly,7,Clothing,T-shirt,2.6,Yes,Free Shipping,Credit Card,Alaska,Summer
54,29,Male,18-30 (Young Adult),24,Low Value,35,Medium Engagement,Low Value - Medium Engagement,Yes,Weekly,7,Clothing,Skirt,3.9,Yes,Next Day Air,Credit Card,Mississippi,Winter
55,47,Male,46-60 (Middle-Aged),94,High Value,35,Medium Engagement,High Value - Medium Engagement,Yes,Bi-Weekly,14,Outerwear,Coat,4.2,Yes,Next Day Air,Debit Card,New Mexico,Summer
56,40,Male,31-45 (Adult),28,Low Value,49,High Engagement,Low Value - High Engagement,Yes,Annually,365,Outerwear,Jacket,3.0,Yes,2-Day Shipping,Credit Card,South Carolina,Winter
57,41,Male,31-45 (Adult),73,Medium Value,46,High Engagement,Medium Value - High Engagement,Yes,Weekly,7,Accessories,Backpack,4.7,Yes,Store Pickup,Credit Card,Mississippi,Summer
58,21,Male,18-30 (Young Adult),64,Medium Value,17,Medium Engagement,Medium Value - Medium Engagement,Yes,Bi-Weekly,14,Outerwear,Coat,4.4,Yes,Store Pickup,Debit Card,West Virginia,Summer
59,69,Male,61-70 (Senior),54,Medium Value,29,Medium Engagement,Medium Value - Medium Engagement,Yes,Monthly,30,Clothing,Hoodie,4.2,Yes,Free Shipping,Venmo,Missouri,Summer
60,63,Male,61-70 (Senior),79,High Value,4,Low Engagement,High Value - Low Engagement,Yes,Weekly,7,Accessories,Belt,4.6,Yes,Standard,Debit Card,Louisiana,Spring
61,50,Male,46-60 (Middle-Aged),37,Low Value,17,Medium Engagement,Low Value - Medium Engagement,Yes,Weekly,7,Clothing,Sweater,4.0,Yes,Express,Cash,Idaho,Summer
62,55,Male,46-60 (Middle-Aged),68,Medium Value,21,Medium Engagement,Medium Value - Medium Engagement,Yes,Quarterly,90,Accessories,Scarf,4.7,Yes,Store Pickup,Credit Card,Texas,Winter
63,30,Male,18-30 (Young Adult),21,Low Value,31,Medium Engagement,Low Value - Medium Engagement,Yes,Bi-Weekly,14,Footwear,Sneakers,3.8,Yes,Free Shipping,Credit Card,Mississippi,Spring
64,33,Male,31-45 (Adult),79,High Value,43,High Engagement,High Value - High Engagement,Yes,Weekly,7,Accessories,Sunglasses,2.7,Yes,2-Day Shipping,Credit Card,Arizona,Winter
65,65,Male,61-70 (Senior),83,High Value,18,Medium Engagement,High Value - Medium Engagement,Yes,Bi-Weekly,14,Footwear,Boots,4.8,Yes,Standard,Debit Card,Alabama,Fall
66,65,Male,61-70 (Senior),36,Low Value,44,High Engagement,Low Value - High Engagement,Yes,Quarterly,90,Accessories,Backpack,4.8,Yes,2-Day Shipping,Venmo,New Jersey,Spring
67,31,Male,31-45 (Adult),94,High Value,3,Low Engagement,High Value - Low Engagement,Yes,Quarterly,90,Clothing,Blouse,4.7,Yes,2-Day Shipping,Venmo,Pennsylvania,Winter
68,45,Male,31-45 (Adult),33,Low Value,49,High Engagement,Low Value - High Engagement,Yes,Monthly,30,Outerwear,Coat,4.4,Yes,Store Pickup,Debit Card,Connecticut,Winter
69,57,Male,46-60 (Middle-Aged),46,Medium Value,21,Medium Engagement,Medium Value - Medium Engagement,Yes,Quarterly,90,Accessories,Handbag,3.9,Yes,Next Day Air,Cash,Utah,Summer
70,48,Male,46-60 (Middle-Aged),70,Medium Value,5,Low Engagement,Medium Value - Low Engagement,Yes,Weekly,7,Accessories,Belt,4.4,Yes,Express,Cash,Tennessee,Summer
71,22,Male,18-30 (Young Adult),29,Low Value,32,Medium Engagement,Low Value - Medium Engagement,Yes,Quarterly,90,Accessories,Belt,4.2,Yes,Express,Debit Card,Alabama,Fall
72,36,Male,31-45 (Adult),48,Medium Value,34,Medium Engagement,Medium Value - Medium Engagement,Yes,Annually,365,Clothing,Dress,2.9,Yes,Express,Bank Transfer,Virginia,Summer
73,18,Male,18-30 (Young Adult),26,Low Value,21,Medium Engagement,Low Value - Medium Engagement,Yes,Quarterly,90,Clothing,Dress,2.9,Yes,Store Pickup,Bank Transfer,Georgia,Winter
74,48,Male,46-60 (Middle-Aged),85,High Value,43,High Engagement,High Value - High Engagement,Yes,Bi-Weekly,14,Clothing,Pants,2.7,Yes,Free Shipping,Bank Transfer,Hawaii,Spring
75,49,Male,46-60 (Middle-Aged),58,Medium Value,3,Low Engagement,Medium Value - Low Engagement,Yes,Monthly,30,Accessories,Gloves,4.5,Yes,Express,Cash,Indiana,Spring
76,64,Male,61-70 (Senior),85,High Value,21,Medium Engagement,High Value - Medium Engagement,Yes,Annually,365,Accessories,Scarf,2.7,Yes,Free Shipping,Credit Card,Utah,Summer
77,50,Male,46-60 (Middle-Aged),43,Medium Value,32,Medium Engagement,Medium Value - Medium Engagement,Yes,Monthly,30,Accessories,Hat,4.2,Yes,Free Shipping,Venmo,Delaware,Summer
78,22,Male,18-30 (Young Adult),53,Medium Value,36,High Engagement,Medium Value - High Engagement,Yes,Bi-Weekly,14,Clothing,Dress,3.3,Yes,Next Day Air,Debit Card,Delaware,Summer
79,50,Male,46-60 (Middle-Aged),91,High Value,50,High Engagement,High Value - High Engagement,Yes,Bi-Weekly,14,Clothing,Skirt,4.7,Yes,Free Shipping,Venmo,Nebraska,Spring
80,38,Male,31-45 (Adult),96,High Value,43,High Engagement,High Value - High Engagement,Yes,Quarterly,90,Outerwear,Jacket,2.6,Yes,2-Day Shipping,Bank Transfer,Iowa,Winter
81,19,Male,18-30 (Young Adult),72,Medium Value,24,Medium Engagement,Medium Value - Medium Engagement,Yes,Quarterly,90,Footwear,Sandals,3.8,Yes,Store Pickup,Credit Card,New York,Summer
82,67,Male,61-70 (Senior),96,High Value,36,High Engagement,High Value - High Engagement,Yes,Quarterly,90,Footwear,Shoes,2.6,Yes,Express,Credit Card,Virginia,Summer
83,19,Male,18-30 (Young Adult),28,Low Value,21,Medium Engagement,Low Value - Medium Engagement,Yes,Quarterly,90,Clothing,Pants,4.0,Yes,2-Day Shipping,Credit Card,Georgia,Spring
84,36,Male,31-45 (Adult),40,Medium Value,34,Medium Engagement,Medium Value - Medium Engagement,Yes,Weekly,7,Clothing,Dress,4.1,Yes,Standard,Bank Transfer,Texas,Summer
85,52,Male,46-60 (Middle-Aged),32,Low Value,42,High Engagement,Low Value - High Engagement,Yes,Quarterly,90,Outerwear,Coat,4.4,Yes,Standard,Bank Transfer,Arizona,Spring
86,53,Male,46-60 (Middle-Aged),95,High Value,2,Low Engagement,High Value - Low Engagement,Yes,Bi-Weekly,14,Accessories,Sunglasses,4.5,Yes,Next Day Air,Debit Card,New Mexico,Winter
87,24,Male,18-30 (Young Adult),41,Medium Value,47,High Engagement,Medium Value - High Engagement,Yes,Bi-Weekly,14,Clothing,Hoodie,3.7,Yes,2-Day Shipping,Cash,Nevada,Spring
88,52,Male,46-60 (Middle-Aged),53,Medium Value,44,High Engagement,Medium Value - High Engagement,Yes,Bi-Weekly,14,Footwear,Shoes,3.7,Yes,2-Day Shipping,Debit Card,Ohio,Fall
89,33,Male,31-45 (Adult),47,Medium Value,35,Medium Engagement,Medium Value - Medium Engagement,Yes,Monthly,30,Clothing,T-shirt,3.5,Yes,Free Shipping,Credit Card,Wyoming,Fall
90,47,Male,46-60 (Middle-Aged),83,High Value,15,Low Engagement,High Value - Low Engagement,Yes,Quarterly,90,Outerwear,Jacket,3.6,Yes,Next Day Air,Cash,California,Fall
91,25,Male,18-30 (Young Adult),48,Medium Value,29,Medium Engagement,Medium Value - Medium Engagement,Yes,Monthly,30,Accessories,Hat,2.9,Yes,Express,Credit Card,South Carolina,Summer
92,44,Male,31-45 (Adult),99,High Value,18,Medium Engagement,High Value - Medium Engagement,Yes,Quarterly,90,Accessories,Scarf,4.6,Yes,Standard,Credit Card,South Carolina,Winter
93,61,Male,61-70 (Senior),87,High Value,13,Low Engagement,High Value - Low Engagement,Yes,Quarterly,90,Outerwear,Jacket,4.4,Yes,2-Day Shipping,Venmo,Texas,Winter
94,37,Male,31-45 (Adult),62,Medium Value,46,High Engagement,Medium Value - High Engagement,Yes,Weekly,7,Clothing,Sweater,4.5,Yes,Standard,Credit Card,Florida,Fall
95,58,Male,46-60 (Middle-Aged),76,High Value,28,Medium Engagement,High Value - Medium Engagement,Yes,Weekly,7,Clothing,Skirt,4.6,Yes,Free Shipping,Credit Card,Nevada,Spring
96,37,Male,31-45 (Adult),100,High Value,48,High Engagement,High Value - High Engagement,Yes,Monthly,30,Footwear,Sneakers,3.8,Yes,Free Shipping,PayPal,Missouri,Fall
97,32,Male,31-45 (Adult),73,Medium Value,43,High Engagement,Medium Value - High Engagement,Yes,Quarterly,90,Accessories,Gloves,3.8,Yes,Express,Venmo,Delaware,Spring
98,21,Male,18-30 (Young Adult),92,High Value,37,High Engagement,High Value - High Engagement,Yes,Annually,365,Footwear,Shoes,4.8,Yes,Store Pickup,Cash,Virginia,Winter
99,20,Male,18-30 (Young Adult),67,Medium Value,20,Medium Engagement,Medium Value - Medium Engagement,Yes,Annually,365,Clothing,Jeans,2.6,Yes,Next Day Air,Bank Transfer,New York,Spring
100,26,Male,18-30 (Young Adult),40,Medium Value,33,Medium Engagement,Medium Value - Medium Engagement,Yes,Quarterly,90,Clothing,Hoodie,3.7,Yes,Express,Debit Card,Missouri,Summer
101,62,Male,61-70 (Senior),98,High Value,31,Medium Engagement,High Value - Medium Engagement,Yes,Bi-Weekly,14,Accessories,Sunglasses,2.7,Yes,Express,Cash,South Dakota,Fall
102,27,Male,18-30 (Young Adult),85,High Value,50,High Engagement,High Value - High Engagement,Yes,Bi-Weekly,14,Outerwear,Coat,4.6,Yes,Express,Credit Card,North Dakota,Spring
103,51,Male,46-60 (Middle-Aged),67,Medium Value,35,Medium Engagement,Medium Value - Medium Engagement,Yes,Quarterly,90,Clothing,Socks,4.8,Yes,Next Day Air,Credit Card,Oklahoma,Winter
104,54,Male,46-60 (Middle-Aged),89,High Value,22,Medium Engagement,High Value - Medium Engagement,Yes,Bi-Weekly,14,Footwear,Boots,4.0,Yes,Next Day Air,Venmo,West Virginia,Winter
105,55,Male,46-60 (Middle-Aged),24,Low Value,1,Low Engagement,Low Value - Low Engagement,Yes,Monthly,30,Accessories,Sunglasses,4.4,Yes,2-Day Shipping,PayPal,New Hampshire,Spring
106,69,Male,61-70 (Senior),96,High Value,4,Low Engagement,High Value - Low Engagement,Yes,Annually,365,Accessories,Backpack,3.6,Yes,Next Day Air,Bank Transfer,New York,Fall
107,64,Male,61-70 (Senior),35,Low Value,31,Medium Engagement,Low Value - Medium Engagement,Yes,Monthly,30,Outerwear,Jacket,3.7,Yes,Standard,Credit Card,Minnesota,Summer
108,28,Male,18-30 (Young Adult),67,Medium Value,46,High Engagement,Medium Value - High Engagement,Yes,Bi-Weekly,14,Footwear,Sneakers,3.1,Yes,Next Day Air,PayPal,Maryland,Winter
109,70,Male,61-70 (Senior),79,High Value,32,Medium Engagement,High Value - Medium Engagement,Yes,Bi-Weekly,14,Clothing,Socks,3.4,Yes,Next Day Air,Bank Transfer,Montana,Spring
110,58,Male,46-60 (Middle-Aged),85,High Value,43,High Engagement,High Value - High Engagement,Yes,Bi-Weekly,14,Clothing,T-shirt,2.6,Yes,Next Day Air,Bank Transfer,Alabama,Spring
111,56,Male,46-60 (Middle-Aged),26,Low Value,26,Medium Engagement,Low Value - Medium Engagement,Yes,Bi-Weekly,14,Accessories,Backpack,4.0,Yes,Standard,Venmo,New York,Summer
112,26,Male,18-30 (Young Adult),75,Medium Value,9,Low Engagement,Medium Value - Low Engagement,Yes,Annually,365,Accessories,Belt,5.0,Yes,Free Shipping,Credit Card,Massachusetts,Summer
113,37,Male,31-45 (Adult),65,Medium Value,28,Medium Engagement,Medium Value - Medium Engagement,Yes,Bi-Weekly,14,Accessories,Gloves,4.3,Yes,Free Shipping,PayPal,Florida,Spring
114,44,Male,31-45 (Adult),54,Medium Value,20,Medium Engagement,Medium Value - Medium Engagement,Yes,Quarterly,90,Accessories,Hat,3.1,Yes,Next Day Air,PayPal,New Jersey,Winter
115,70,Male,61-70 (Senior),95,High Value,9,Low Engagement,High Value - Low Engagement,Yes,Weekly,7,Outerwear,Coat,3.7,Yes,Store Pickup,Cash,Massachusetts,Summer
116,53,Male,46-60 (Middle-Aged),94,High Value,48,High Engagement,High Value - High Engagement,Yes,Quarterly,90,Clothing,Skirt,3.8,Yes,Standard,Debit Card,Wyoming,Spring
117,55,Male,46-60 (Middle-Aged),86,High Value,12,Low Engagement,High Value - Low Engagement,Yes,Annually,365,Footwear,Shoes,3.4,Yes,Free Shipping,Venmo,Virginia,Spring
118,50,Male,46-60 (Middle-Aged),32,Low Value,29,Medium Engagement,Low Value - Medium Engagement,Yes,Bi-Weekly,14,Footwear,Sandals,4.6,Yes,Express,Cash,South Dakota,Summer
119,50,Male,46-60 (Middle-Aged),45,Medium Value,27,Medium Engagement,Medium Value - Medium Engagement,Yes,Bi-Weekly,14,Clothing,Sweater,4.8,Yes,2-Day Shipping,Cash,Kentucky,Fall
120,38,Male,31-45 (Adult),76,High Value,44,High Engagement,High Value - High Engagement,Yes,Annually,365,Outerwear,Coat,4.3,Yes,Express,Cash,Wyoming,Fall
121,64,Male,61-70 (Senior),84,High Value,32,Medium Engagement,High Value - Medium Engagement,Yes,Annually,365,Accessories,Hat,4.0,Yes,Express,Bank Transfer,West Virginia,Summer
122,19,Male,18-30 (Young Adult),72,Medium Value,11,Low Engagement,Medium Value - Low Engagement,Yes,Bi-Weekly,14,Clothing,Shorts,4.2,Yes,Standard,Cash,Virginia,Winter
123,40,Male,31-45 (Adult),40,Medium Value,44,High Engagement,Medium Value - High Engagement,Yes,Bi-Weekly,14,Accessories,Backpack,4.8,Yes,2-Day Shipping,Cash,Washington,Spring
124,57,Male,46-60 (Middle-Aged),89,High Value,46,High Engagement,High Value - High Engagement,Yes,Weekly,7,Clothing,Sweater,3.1,Yes,Free Shipping,Cash,Louisiana,Fall
125,44,Male,31-45 (Adult),86,High Value,50,High Engagement,High Value - High Engagement,Yes,Annually,365,Clothing,Sweater,3.1,Yes,Next Day Air,PayPal,Nevada,Spring
126,49,Male,46-60 (Middle-Aged),54,Medium Value,45,High Engagement,Medium Value - High Engagement,Yes,Quarterly,90,Clothing,Shorts,3.6,Yes,Next Day Air,Venmo,California,Winter
127,43,Male,31-45 (Adult),36,Low Value,48,High Engagement,Low Value - High Engagement,Yes,Quarterly,90,Clothing,Shorts,3.9,Yes,Store Pickup,Cash,Mississippi,Spring
128,24,Male,18-30 (Young Adult),89,High Value,26,Medium Engagement,High Value - Medium Engagement,Yes,Weekly,7,Clothing,Sweater,4.8,Yes,Next Day Air,Credit Card,Mississippi,Winter
129,20,Male,18-30 (Young Adult),32,Low Value,21,Medium Engagement,Low Value - Medium Engagement,Yes,Bi-Weekly,14,Accessories,Scarf,4.7,Yes,Standard,Credit Card,California,Spring
130,24,Male,18-30 (Young Adult),67,Medium Value,49,High Engagement,Medium Value - High Engagement,Yes,Bi-Weekly,14,Clothing,Dress,4.2,Yes,2-Day Shipping,PayPal,Pennsylvania,Summer
131,44,Male,31-45 (Adult),39,Low Value,13,Low Engagement,Low Value - Low Engagement,Yes,Bi-Weekly,14,Accessories,Scarf,3.7,Yes,Next Day Air,PayPal,Kentucky,Fall
132,28,Male,18-30 (Young Adult),29,Low Value,46,High Engagement,Low Value - High Engagement,Yes,Weekly,7,Clothing,Skirt,3.9,Yes,Standard,Credit Card,Maine,Summer
133,30,Male,18-30 (Young Adult),58,Medium Value,42,High Engagement,Medium Value - High Engagement,Yes,Weekly,7,Accessories,Backpack,4.7,Yes,2-Day Shipping,PayPal,New Mexico,Fall
134,52,Male,46-60 (Middle-Aged),65,Medium Value,25,Medium Engagement,Medium Value - Medium Engagement,Yes,Annually,365,Clothing,Sweater,2.5,Yes,Next Day Air,Venmo,Montana,Winter
135,43,Male,31-45 (Adult),94,High Value,25,Medium Engagement,High Value - Medium Engagement,Yes,Monthly,30,Accessories,Hat,4.9,Yes,Store Pickup,Cash,Texas,Fall
136,43,Male,31-45 (Adult),81,High Value,12,Low Engagement,High Value - Low Engagement,Yes,Quarterly,90,Footwear,Sandals,4.1,Yes,Express,PayPal,Kansas,Fall
137,39,Male,31-45 (Adult),86,High Value,4,Low Engagement,High Value - Low Engagement,Yes,Quarterly,90,Clothing,Blouse,3.3,Yes,Free Shipping,Debit Card,South Carolina,Winter
138,68,Male,61-70 (Senior),43,Medium Value,38,High Engagement,Medium Value - High Engagement,Yes,Weekly,7,Footwear,Sneakers,4.7,Yes,Free Shipping,PayPal,Colorado,Spring
139,68,Male,61-70 (Senior),29,Low Value,42,High Engagement,Low Value - High Engagement,Yes,Weekly,7,Clothing,Skirt,4.4,Yes,Store Pickup,Bank Transfer,Georgia,Winter
140,49,Male,46-60 (Middle-Aged),95,High Value,30,Medium Engagement,High Value - Medium Engagement,Yes,Annually,365,Outerwear,Coat,3.8,Yes,Store Pickup,Venmo,Florida,Fall
141,63,Male,61-70 (Senior),28,Low Value,50,High Engagement,Low Value - High Engagement,Yes,Weekly,7,Clothing,Shirt,3.9,Yes,2-Day Shipping,Credit Card,North Carolina,Fall
