customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,frequency_of_purchases_raw,age_group,purchase_frequency_days,customer_value_tier,engagement_tier,value_engagement_segment
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,8,PayPal,Monthly,Monthly,61-70 (Senior),30,High Value,Low Engagement,High Value - Low Engagement
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,44,Debit Card,Bi-Weekly,Bi-Weekly,18-30 (Young Adult),14,Low Value,High Engagement,Low Value - High Engagement
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,36,Venmo,Quarterly,Quarterly,46-60 (Middle-Aged),90,Low Value,High Engagement,Low Value - High Engagement
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,17,Cash,Weekly,Weekly,46-60 (Middle-Aged),7,Medium Value,Medium Engagement,Medium Value - Medium Engagement
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,46,Debit Card,Bi-Weekly,Bi-Weekly,61-70 (Senior),14,High Value,High Engagement,High Value - High Engagement
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,50,Cash,Quarterly,Every 3 Months,18-30 (Young Adult),90,Medium Value,High Engagement,Medium Value - High Engagement
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,22,Debit Card,Quarterly,Quarterly,31-45 (Adult),90,Medium Value,Medium Engagement,Medium Value - Medium Engagement
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,32,Debit Card,Annually,Annually,46-60 (Middle-Aged),365,Low Value,Medium Engagement,Low Value - Medium Engagement
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,40,Credit Card,Weekly,Weekly,31-45 (Adult),7,High Value,High Engagement,High Value - High Engagement
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,16,Debit Card,Weekly,Weekly,18-30 (Young Adult),7,Low Value,Medium Engagement,Low Value - Medium Engagement
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,14,PayPal,Annually,Annually,18-30 (Young Adult),365,Low Value,Low Engagement,Low Value - Low Engagement
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,Annually,Annually,31-45 (Adult),365,Low Value,Low Engagement,Low Value - Low Engagement
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,7,Bank Transfer,Quarterly,Every 3 Months,46-60 (Middle-Aged),90,Medium Value,Low Engagement,Medium Value - Low Engagement
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,41,PayPal,Quarterly,Every 3 Months,46-60 (Middle-Aged),90,High Value,High Engagement,High Value - High Engagement
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,Weekly,Weekly,31-45 (Adult),7,Medium Value,Low Engagement,Medium Value - Low Engagement
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,16,Credit Card,Monthly,Monthly,46-60 (Middle-Aged),30,Low Value,Medium Engagement,Low Value - Medium Engagement
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,45,Venmo,Monthly,Monthly,31-45 (Adult),30,High Value,High Engagement,High Value - High Engagement
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,37,Venmo,Annually,Annually,31-45 (Adult),365,Medium Value,High Engagement,Medium Value - High Engagement
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,Quarterly,Quarterly,46-60 (Middle-Aged),90,Low Value,High Engagement,Low Value - High Engagement
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,38,PayPal,Quarterly,Quarterly,31-45 (Adult),90,High Value,High Engagement,High Value - High Engagement
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,Bi-Weekly,46-60 (Middle-Aged),14,Low Value,High Engagement,Low Value - High Engagement
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,44,PayPal,Bi-Weekly,Fortnightly,31-45 (Adult),14,Medium Value,High Engagement,Medium Value - High Engagement
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,10,PayPal,Weekly,Weekly,31-45 (Adult),7,Medium Value,Low Engagement,Medium Value - Low Engagement
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,44,Venmo,Quarterly,Every 3 Months,18-30 (Young Adult),90,Low Value,High Engagement,Low Value - High Engagement
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,18,Credit Card,Monthly,Monthly,61-70 (Senior),30,Medium Value,Medium Engagement,Medium Value - Medium Engagement
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,Quarterly,Quarterly,61-70 (Senior),90,High Value,Medium Engagement,High Value - Medium Engagement
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,40,Venmo,Annually,Annually,61-70 (Senior),365,Low Value,High Engagement,Low Value - High Engagement
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,15,PayPal,Annually,Annually,18-30 (Young Adult),365,High Value,Low Engagement,High Value - Low Engagement
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,19,PayPal,Bi-Weekly,Fortnightly,18-30 (Young Adult),14,Medium Value,Medium Engagement,Medium Value - Medium Engagement
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,45,PayPal,Weekly,Weekly,31-45 (Adult),7,Medium Value,High Engagement,Medium Value - High Engagement
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,25,PayPal,Annually,Annually,46-60 (Middle-Aged),365,Low Value,Medium Engagement,Low Value - Medium Engagement
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,Quarterly,Quarterly,46-60 (Middle-Aged),90,Medium Value,High Engagement,Medium Value - High Engagement
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,Weekly,Weekly,46-60 (Middle-Aged),7,Medium Value,High Engagement,Medium Value - High Engagement
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,Monthly,Monthly,31-45 (Adult),30,Medium Value,High Engagement,Medium Value - High Engagement
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,34,Debit Card,Bi-Weekly,Bi-Weekly,61-70 (Senior),14,Low Value,Medium Engagement,Low Value - Medium Engagement
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,39,Debit Card,Bi-Weekly,Bi-Weekly,46-60 (Middle-Aged),14,Low Value,High Engagement,Low Value - High Engagement
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,7,Credit Card,Quarterly,Quarterly,46-60 (Middle-Aged),90,Medium Value,Low Engagement,Medium Value - Low Engagement
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,26,Credit Card,Weekly,Weekly,31-45 (Adult),7,Low Value,Medium Engagement,Low Value - Medium Engagement
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,35,Credit Card,Weekly,Weekly,18-30 (Young Adult),7,Low Value,Medium Engagement,Low Value - Medium Engagement
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,Bi-Weekly,Bi-Weekly,46-60 (Middle-Aged),14,High Value,Medium Engagement,High Value - Medium Engagement
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,49,Credit Card,Annually,Annually,31-45 (Adult),365,Low Value,High Engagement,Low Value - High Engagement
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,46,Credit Card,Weekly,Weekly,31-45 (Adult),7,Medium Value,High Engagement,Medium Value - High Engagement
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,17,Debit Card,Bi-Weekly,Fortnightly,18-30 (Young Adult),14,Medium Value,Medium Engagement,Medium Value - Medium Engagement
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,29,Venmo,Monthly,Monthly,61-70 (Senior),30,Medium Value,Medium Engagement,Medium Value - Medium Engagement
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,4,Debit Card,Weekly,Weekly,61-70 (Senior),7,High Value,Low Engagement,High Value - Low Engagement
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,17,Cash,Weekly,Weekly,46-60 (Middle-Aged),7,Low Value,Medium Engagement,Low Value - Medium Engagement
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,21,Credit Card,Quarterly,Every 3 Months,46-60 (Middle-Aged),90,Medium Value,Medium Engagement,Medium Value - Medium Engagement
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,31,Credit Card,Bi-Weekly,Fortnightly,18-30 (Young Adult),14,Low Value,Medium Engagement,Low Value - Medium Engagement
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,43,Credit Card,Weekly,Weekly,31-45 (Adult),7,High Value,High Engagement,High Value - High Engagement
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,18,Debit Card,Bi-Weekly,Fortnightly,61-70 (Senior),14,High Value,Medium Engagement,High Value - Medium Engagement
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,44,Venmo,Quarterly,Every 3 Months,61-70 (Senior),90,Low Value,High Engagement,Low Value - High Engagement
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,3,Venmo,Quarterly,Every 3 Months,31-45 (Adult),90,High Value,Low Engagement,High Value - Low Engagement
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,49,Debit Card,Monthly,Monthly,31-45 (Adult),30,Low Value,High Engagement,Low Value - High Engagement
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,21,Cash,Quarterly,Every 3 Months,46-60 (Middle-Aged),90,Medium Value,Medium Engagement,Medium Value - Medium Engagement
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly,Weekly,46-60 (Middle-Aged),7,Medium Value,Low Engagement,Medium Value - Low Engagement
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,32,Debit Card,Quarterly,Every 3 Months,18-30 (Young Adult),90,Low Value,Medium Engagement,Low Value - Medium Engagement
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,34,Bank Transfer,Annually,Annually,31-45 (Adult),365,Medium Value,Medium Engagement,Medium Value - Medium Engagement
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,21,Bank Transfer,Quarterly,Every 3 Months,18-30 (Young Adult),90,Low Value,Medium Engagement,Low Value - Medium Engagement
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,43,Bank Transfer,Bi-Weekly,Bi-Weekly,46-60 (Middle-Aged),14,High Value,High Engagement,High Value - High Engagement
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,3,Cash,Monthly,Monthly,46-60 (Middle-Aged),30,Medium Value,Low Engagement,Medium Value - Low Engagement
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,21,Credit Card,Annually,Annually,61-70 (Senior),365,High Value,Medium Engagement,High Value - Medium Engagement
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,32,Venmo,Monthly,Monthly,46-60 (Middle-Aged),30,Medium Value,Medium Engagement,Medium Value - Medium Engagement
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,36,Debit Card,Bi-Weekly,Fortnightly,18-30 (Young Adult),14,Medium Value,High Engagement,Medium Value - High Engagement
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,50,Venmo,Bi-Weekly,Fortnightly,46-60 (Middle-Aged),14,High Value,High Engagement,High Value - High Engagement
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,43,Bank Transfer,Quarterly,Every 3 Months,31-45 (Adult),90,High Value,High Engagement,High Value - High Engagement
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,24,Credit Card,Quarterly,Every 3 Months,18-30 (Young Adult),90,Medium Value,Medium Engagement,Medium Value - Medium Engagement
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,36,Credit Card,Quarterly,Every 3 Months,61-70 (Senior),90,High Value,High Engagement,High Value - High Engagement
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,21,Credit Card,Quarterly,Every 3 Months,18-30 (Young Adult),90,Low Value,Medium Engagement,Low Value - Medium Engagement
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,34,Bank Transfer,Weekly,Weekly,31-45 (Adult),7,Medium Value,Medium Engagement,Medium Value - Medium Engagement
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,42,Bank Transfer,Quarterly,Every 3 Months,46-60 (Middle-Aged),90,Low Value,High Engagement,Low Value - High Engagement
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,2,Debit Card,Bi-Weekly,Bi-Weekly,46-60 (Middle-Aged),14,High Value,Low Engagement,High Value - Low Engagement
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,47,Cash,Bi-Weekly,Bi-Weekly,18-30 (Young Adult),14,Medium Value,High Engagement,Medium Value - High Engagement
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,44,Debit Card,Bi-Weekly,Fortnightly,46-60 (Middle-Aged),14,Medium Value,High Engagement,Medium Value - High Engagement
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,35,Credit Card,Monthly,Monthly,31-45 (Adult),30,Medium Value,Medium Engagement,Medium Value - Medium Engagement
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,15,Cash,Quarterly,Quarterly,46-60 (Middle-Aged),90,High Value,Low Engagement,High Value - Low Engagement
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,29,Credit Card,Monthly,Monthly,18-30 (Young Adult),30,Medium Value,Medium Engagement,Medium Value - Medium Engagement
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,18,Credit Card,Quarterly,Every 3 Months,31-45 (Adult),90,High Value,Medium Engagement,High Value - Medium Engagement
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,13,Venmo,Quarterly,Every 3 Months,61-70 (Senior),90,High Value,Low Engagement,High Value - Low Engagement
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,46,Credit Card,Weekly,Weekly,31-45 (Adult),7,Medium Value,High Engagement,Medium Value - High Engagement
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,28,Credit Card,Weekly,Weekly,46-60 (Middle-Aged),7,High Value,Medium Engagement,High Value - Medium Engagement
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,48,PayPal,Monthly,Monthly,31-45 (Adult),30,High Value,High Engagement,High Value - High Engagement
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,43,Venmo,Quarterly,Every 3 Months,31-45 (Adult),90,Medium Value,High Engagement,Medium Value - High Engagement
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,37,Cash,Annually,Annually,18-30 (Young Adult),365,High Value,High Engagement,High Value - High Engagement
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,20,Bank Transfer,Annually,Annually,18-30 (Young Adult),365,Medium Value,Medium Engagement,Medium Value - Medium Engagement
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,33,Debit Card,Quarterly,Quarterly,18-30 (Young Adult),90,Medium Value,Medium Engagement,Medium Value - Medium Engagement
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,31,Cash,Bi-Weekly,Fortnightly,61-70 (Senior),14,High Value,Medium Engagement,High Value - Medium Engagement
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,50,Credit Card,Bi-Weekly,Bi-Weekly,18-30 (Young Adult),14,High Value,High Engagement,High Value - High Engagement
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,35,Credit Card,Quarterly,Quarterly,46-60 (Middle-Aged),90,Medium Value,Medium Engagement,Medium Value - Medium Engagement
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,22,Venmo,Bi-Weekly,Bi-Weekly,46-60 (Middle-Aged),14,High Value,Medium Engagement,High Value - Medium Engagement
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,1,PayPal,Monthly,Monthly,46-60 (Middle-Aged),30,Low Value,Low Engagement,Low Value - Low Engagement
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,4,Bank Transfer,Annually,Annually,61-70 (Senior),365,High Value,Low Engagement,High Value - Low Engagement
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,31,Credit Card,Monthly,Monthly,61-70 (Senior),30,Low Value,Medium Engagement,Low Value - Medium Engagement
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,46,PayPal,Bi-Weekly,Fortnightly,18-30 (Young Adult),14,Medium Value,High Engagement,Medium Value - High Engagement
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,32,Bank Transfer,Bi-Weekly,Bi-Weekly,61-70 (Senior),14,High Value,Medium Engagement,High Value - Medium Engagement
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,43,Bank Transfer,Bi-Weekly,Fortnightly,46-60 (Middle-Aged),14,High Value,High Engagement,High Value - High Engagement
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Standard,Yes,26,Venmo,Bi-Weekly,Fortnightly,46-60 (Middle-Aged),14,Low Value,Medium Engagement,Low Value - Medium Engagement
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,9,Credit Card,Annually,Annually,18-30 (Young Adult),365,Medium Value,Low Engagement,Medium Value - Low Engagement
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,28,PayPal,Bi-Weekly,Bi-Weekly,31-45 (Adult),14,Medium Value,Medium Engagement,Medium Value - Medium Engagement
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,20,PayPal,Quarterly,Quarterly,31-45 (Adult),90,Medium Value,Medium Engagement,Medium Value - Medium Engagement
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,9,Cash,Weekly,Weekly,61-70 (Senior),7,High Value,Low Engagement,High Value - Low Engagement
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,48,Debit Card,Quarterly,Every 3 Months,46-60 (Middle-Aged),90,High Value,High Engagement,High Value - High Engagement
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,12,Venmo,Annually,Annually,46-60 (Middle-Aged),365,High Value,Low Engagement,High Value - Low Engagement
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,29,Cash,Bi-Weekly,Fortnightly,46-60 (Middle-Aged),14,Low Value,Medium Engagement,Low Value - Medium Engagement
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,27,Cash,Bi-Weekly,Bi-Weekly,46-60 (Middle-Aged),14,Medium Value,Medium Engagement,Medium Value - Medium Engagement
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,44,Cash,Annually,Annually,31-45 (Adult),365,High Value,High Engagement,High Value - High Engagement
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,Yes,Express,Yes,32,Bank Transfer,Annually,Annually,61-70 (Senior),365,High Value,Medium Engagement,High Value - Medium Engagement
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,11,Cash,Bi-Weekly,Fortnightly,18-30 (Young Adult),14,Medium Value,Low Engagement,Medium Value - Low Engagement
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,44,Cash,Bi-Weekly,Fortnightly,31-45 (Adult),14,Medium Value,High Engagement,Medium Value - High Engagement
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,46,Cash,Weekly,Weekly,46-60 (Middle-Aged),7,High Value,High Engagement,High Value - High Engagement
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,50,PayPal,Annually,Annually,31-45 (Adult),365,High Value,High Engagement,High Value - High Engagement
